,States,year,Primary_Boys,Primary_Girls,Primary_Total,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Region,reference
37,Haryana,2013-14,0.22,0.63,0.41,1.97,3.25,2.55,11.92,13.27,12.51,1.41,3.16,2.18,north,2013-14 north
38,Haryana,2014-15,5.54,5.69,5.61,5.5,6.18,5.81,16.35,15.3,15.89,6.24,5.12,5.75,north,2014-15 north
39,Himachal Pradesh,2012-13,0.51,0.39,0.45,0.52,0.49,0.51,8.35,8.4,8.37,10.25,7.64,9.02,north,2012-13 north
40,Himachal Pradesh,2013-14,0.57,0.34,0.46,0.6,0.98,0.78,9.32,8.83,9.09,8.44,5.54,7.07,north,2013-14 north
41,Himachal Pradesh,2014-15,0.46,0.83,0.64,0.5,1.27,0.87,6.31,5.8,6.07,9.02,5.57,7.41,north,2014-15 north
42,Jammu & Kashmir,2012-13,6.8,5.75,6.3,5.51,5.52,5.52,16.79,17.96,17.33,11.69,9.36,10.66,north,2012-13 north
43,Jammu & Kashmir,2013-14,5.53,5.37,5.46,3.86,4.8,4.3,14.7,16.14,15.36,8.8,6.2,7.64,north,2013-14 north
44,Jammu & Kashmir,2014-15,6.98,6.59,6.79,4.98,5.95,5.44,16.97,17.65,17.28,13.85,11.2,12.65,north,2014-15 north
45,Jharkhand,2012-13,7.36,7.05,7.21,4.99,5.94,5.47,17.84,19.2,18.5,12.74,9.32,11.14,east,2012-13 east
46,Jharkhand,2013-14,6.89,5.91,6.41,7.19,7.65,7.42,22.99,23.32,23.15,13.48,9.98,11.88,east,2013-14 east
47,Jharkhand,2014-15,5.91,5.03,5.48,9.01,8.96,8.99,23.45,24.56,24.0,2.72,4.18,3.41,east,2014-15 east
48,Karnataka,2012-13,3.4,2.51,2.97,4.96,5.15,5.05,40.7,39.07,39.92,19.47,11.26,15.33,south,2012-13 south
49,Karnataka,2013-14,2.42,2.21,2.32,2.31,2.73,2.51,28.49,26.57,27.57,10.21,8.72,9.44,south,2013-14 south
50,Karnataka,2014-15,2.03,2.01,2.02,3.46,4.27,3.85,27.71,24.52,26.18,5.97,3.01,1.96,south,2014-15 south
51,Kerala,2012-13,2.74,2.52,2.64,2.22,2.96,2.58,12.31,6.38,9.45,7.56,5.82,5.7,south,2012-13 south
52,Kerala,2013-14,2.81,2.63,2.72,3.03,3.43,3.22,17.3,11.4,14.46,6.95,5.9,6.4,south,2013-14 south
53,Kerala,2014-15,2.79,2.8,2.8,2.86,0.0,2.98,14.96,9.52,12.32,1.54,3.01,0.47,south,2014-15 south
54,Lakshadweep,2012-13,2.3,2.71,2.5,0.97,5.39,0.29,6.15,9.17,7.68,2.98,10.65,6.59,west,2012-13 west
55,Lakshadweep,2013-14,0.0,2.31,2.05,1.16,2.5,1.86,8.48,7.65,8.03,3.03,2.59,2.82,west,2013-14 west
56,Lakshadweep,2014-15,1.85,1.62,1.75,2.37,3.18,2.78,8.82,4.96,6.76,3.0,3.21,3.12,west,2014-15 west
57,Madhya Pradesh,2012-13,5.75,6.49,6.11,6.79,10.27,8.53,11.16,16.39,13.63,,,,central,2012-13 central
58,Madhya Pradesh,2013-14,9.91,10.4,10.14,9.88,13.57,11.7,25.21,27.91,26.47,0.52,2.83,1.55,central,2013-14 central
59,Madhya Pradesh,2014-15,6.48,6.72,6.59,7.78,10.7,9.2,23.71,25.97,24.77,1.37,0.73,2.76,central,2014-15 central
60,Maharashtra,2012-13,0.88,1.06,0.97,0.89,2.72,1.74,16.61,15.72,16.2,2.55,3.94,3.2,west,2012-13 west
61,Maharashtra,2013-14,0.51,0.59,0.55,3.18,1.5,0.61,15.04,13.78,14.47,2.85,3.89,3.34,west,2013-14 west
62,Maharashtra,2014-15,1.26,1.25,1.26,0.89,2.83,1.79,13.11,12.58,12.87,2.02,1.6,1.83,west,2014-15 west
63,Manipur,2012-13,10.24,9.48,9.86,5.48,6.65,6.06,8.16,11.35,9.75,5.96,10.06,7.93,ne,2012-13 ne
64,Manipur,2013-14,17.27,18.74,18.0,7.48,6.54,7.02,12.35,15.28,13.81,3.3,3.08,3.2,ne,2013-14 ne
65,Manipur,2014-15,9.5,9.83,9.66,3.61,4.8,4.2,12.94,15.86,14.38,12.04,9.11,10.6,ne,2014-15 ne
66,Meghalaya,2012-13,11.32,8.96,10.14,8.43,7.34,7.85,27.21,25.02,26.03,8.64,8.16,8.83,ne,2012-13 ne
67,Meghalaya,2013-14,11.3,9.39,10.34,6.34,7.28,6.84,25.63,23.99,24.75,11.35,9.89,10.62,ne,2013-14 ne
68,Meghalaya,2014-15,10.35,8.56,9.46,6.77,6.3,6.52,20.8,20.27,20.52,12.04,9.11,10.6,ne,2014-15 ne
69,Mizoram,2012-13,24.27,23.93,24.11,19.35,19.21,19.28,22.18,20.65,21.42,2.91,8.16,8.83,ne,2012-13 ne
70,Mizoram,2013-14,12.57,13.38,12.96,6.61,5.39,6.02,20.0,17.37,18.7,11.35,9.89,10.62,ne,2013-14 ne
71,Mizoram,2014-15,10.17,10.03,10.1,5.46,4.06,4.78,23.02,20.73,21.88,9.0,4.85,6.91,ne,2014-15 ne
72,Nagaland,2012-13,7.11,7.03,7.07,10.15,9.51,9.83,26.7,26.33,26.51,18.67,17.87,18.29,ne,2012-13 ne
73,Nagaland,2013-14,19.09,19.74,19.41,18.08,17.63,17.86,34.14,36.08,35.11,15.36,12.96,14.19,ne,2013-14 ne
